transactionId,accountId,accountType,date,amount,currency,merchantName,mcc,merchantCategory,type,description,isRecurring
c2a03574-67ca-4533-80a6-d8c5e5bc3d29,acct-2,credit_card,2025-04-01T10:59:03,10.27,USD,Spotify,4899,Entertainment/Streaming,debit,Spotify Entertainment/Streaming,False
48a91c39-be47-4f0c-af2a-43d6648084ca,acct-2,credit_card,2025-04-02T23:52:09,8.51,USD,Netflix,4899,Entertainment/Streaming,debit,Netflix Entertainment/Streaming,False
c1fd9f1b-8fc9-42a3-a053-ea5208b1a8da,acct-3,checking,2025-04-03T17:01:09,13.71,USD,Spotify,4899,Entertainment/Streaming,debit,Spotify Entertainment/Streaming payment,True
d1a26d3c-f346-47f4-9d08-76520fe4608c,acct-2,credit_card,2025-04-03T17:58:45,23.74,USD,Uber,4121,Travel,debit,Uber Travel,False
f7e6a98a-99ac-49fc-80ed-efe436fc0f02,acct-1,checking,2025-04-05T13:16:56,36.76,USD,Kroger,5411,Grocery Stores,debit,Kroger Grocery Stores,False
7c2fe227-758c-4668-9d68-fe5f7725e226,acct-1,checking,2025-04-11T01:11:37,9.47,USD,Chipotle,5814,Dining,debit,Chipotle Dining,False
d5031610-b0f5-4585-bd7b-f9f5ae01fd02,acct-1,checking,2025-04-11T21:59:29,78.69,USD,Chevron,5541,Gas,debit,Chevron Gas,False
b753874c-a47e-4321-b44c-82d1a88cee43,acct-3,checking,2025-04-16T11:26:46,11.34,USD,Chipotle,5814,Dining,debit,Chipotle Dining,False
2c1145d9-d811-4acd-93c5-9a4739f98a05,acct-3,checking,2025-04-17T20:38:45,670.12,USD,Best Buy,5732,Retail,debit,Best Buy Retail,False
21fcbecb-d220-4ec8-95b7-fd14e31e2cf3,acct-3,checking,2025-04-18T12:50:59,113.58,USD,Kroger,5411,Grocery Stores,debit,Kroger Grocery Stores,False
fa442408-1a78-4e6a-9c5d-acb80b426ea6,acct-2,credit_card,2025-04-19T12:36:03,23.21,USD,Shell Oil,5541,Gas,debit,Shell Oil Gas,False
717fbfd6-c907-4fe8-a632-7e271329545c,acct-3,checking,2025-04-19T17:04:29,11.93,USD,Netflix,4899,Entertainment/Streaming,debit,Netflix Entertainment/Streaming payment,True
3fb981fd-3882-46a8-b006-87581d55f6c7,acct-1,checking,2025-04-23T10:50:40,777.1,USD,Best Buy,5732,Retail,debit,Best Buy Retail,False
67cc71d3-1787-4292-8bcb-35a42ae3ab69,acct-1,checking,2025-04-23T14:19:48,30.56,USD,Lyft,4121,Travel,debit,Lyft Travel,False
910cf67e-d6e0-405e-905b-5c99b4fe3ef4,acct-3,checking,2025-04-25T19:03:52,43.37,USD,Walmart,5411,Grocery Stores,debit,Walmart Grocery Stores,False
9918fc7d-6806-4c6b-8c0b-46b370ec7dac,acct-1,checking,2025-04-26T00:42:53,14.84,USD,Spotify,4899,Entertainment/Streaming,debit,Spotify Entertainment/Streaming,False
2042d04d-b75e-4403-a83b-2a6b6243270d,acct-1,checking,2025-04-27T22:47:21,25.33,USD,Walmart,5411,Grocery Stores,debit,Walmart Grocery Stores,False
03c4272f-7cac-413e-83b3-fec9526a0524,acct-2,credit_card,2025-05-02T13:47:18,59.33,USD,Lyft,4121,Travel,debit,Lyft Travel,False
43c0bd05-ba63-4e4d-a5e0-a9239b577095,acct-3,checking,2025-05-04T01:01:29,11.12,USD,Spotify,4899,Entertainment/Streaming,debit,Spotify Entertainment/Streaming payment,True
b4692140-e1a8-4e4f-9ba7-a2550e4dcf99,acct-1,checking,2025-05-07T13:23:33,69.29,USD,Kroger,5411,Grocery Stores,debit,Kroger Grocery Stores,False
9c9b41ae-2a9a-4231-b344-55a5c5f78016,acct-2,credit_card,2025-05-07T19:59:21,7.3,USD,Starbucks,5814,Dining,debit,Starbucks Dining,False
d1c177e2-c6d9-4ff8-8ba0-e54dded5fa7e,acct-3,checking,2025-05-09T03:18:30,28.25,USD,Whole Foods Market,5411,Grocery Stores,debit,Whole Foods Market Grocery Stores,False
e149d971-11ef-4285-9ce8-64c0b96e5abf,acct-3,checking,2025-05-09T22:33:17,117.38,USD,Kroger,5411,Grocery Stores,debit,Kroger Grocery Stores,False
